LABEL,TEXT,URL,EMAIL,PHONE
spam,instant info on your finger tipsdial tollfree  to know best smsdt and attractive vas offers,No,No,No
smishing,talk more get full talktime at rs get full talktime at rs offer till apr dial  or visit myairtel appcharges apply bitlymyairtel,No,No,No
smishing,Your PayPal have be temporarily Limited You have 24H to confirm account information or your account will be lock http://paypal.co.uk.5mng.pw/m/,Yes,No,No
smishing,thanks for choosing sulekha youll soon get an sms and email with competitive quotes from service experts call    for any queries manage your needs onthego download sulekha app httpmonelinkmeeff,No,No,No
spam,get sona masoori rice  re kg max kg on your st order above rs  from ninjacart valid till stock last use code one get app hyperurlconinjacart,No,No,No
smishing,AngloGroup tender All interested tenderers can participate in this great opportunity by send Ck document to info angloplatgroupz a.com or call XXXXXXXXXX,No,No,No
ham,"Yep, at derek's house now, see you Sunday &lt;3",No,No,No
ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Virat",No,No,No
spam,good morning  get flat  off on diamond ornaments offer valid till  thth january   get lowest possible rate of gold across saurashtra  kutch at swarn shikha  selling rate is   gandhidham,No,No,No
smishing,Dear customer your Airtel S I M Docoument have be pending your number will be cancel within 24hrs more inquiry call customer care XXXXXXXXXXX urgent thank you,No,No,No
smishing,Today Dec XX be the last day you can get a Concealed Carry Gun Certificate Permit Get it in XX min here chrtt.me/BbeHwmlNlg,No,No,No
smishing,hi you have some important missed calls to get the details please send mca get to  rs  subscribe missed call alerts rsmonth  dial,No,No,No
ham,"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in.",No,No,No
smishing,Tikona plan change request be process Pls make payment of any pending bill or charge before due date Ignore if already pay Visit My Tikona App for detailsDear Tikona Customer we have receive your request for last bill detail You will receive it on your registered email id,No,No,No
spam,PARAMOUNT PRESENTS EMOTIONS*2/3 BHK FLAT @ 19.30 Lac*Semi Modular Kitchn*Cupboard*R.O. System@ Noida ExtnFor Enquiry: 9212414825 9268572022,No,No,Yes
smishing,"Former Pakistani actor Feroze Khan rejected the lead role in Hollywood movie! For details, click the link: http://l.jazzmobilemag.pk/yQMIEXk/2fab",Yes,No,No
spam,Hii sir Your ATM have be block due to not update your information with us For further detail XXXXXXXXXX XXXXXXXXXX,No,No,No
spam,now or never panchsheel greens  ready for possession  bhk  best price pay only  lacs rest on possession offer of the month limited units ph,No,No,No
